Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2015-10-07,12193.0,,,,,,,,,,
2015-10-08,11169.0,,,,,,,,,,
2015-10-09,10714.0,,,,,,,,,,
2015-10-12,10706.0,,,,,,,,,,
2015-10-13,10529.0,,,,,,,,,,
2015-10-14,10036.0,,,,,,,,,,
2015-10-15,9451.0,,,,,,,,,,
2015-10-16,9230.0,,,,,,,,,,
2015-10-19,9137.0,,,,,,,,,,
2015-10-20,9811.0,,,,,,,,,,
2015-10-21,10577.0,,,,,,,,,,
2015-10-22,10919.0,,,,,,,,,,
2015-10-23,10555.0,,,,,,,,,,
2015-10-26,10089.0,,,,,,,,,,
2015-10-27,9354.0,,,,,,,,,,
2015-10-28,9283.0,,,,,,,,,,
2015-10-29,9184.0,,,,,,,,,,
2015-10-30,9065.0,,,,,,,,,,
2015-11-02,8736.0,,,,,,,,,,
2015-11-03,8118.0,,,,,,,,,,
2015-11-04,7638.0,,,,,,,,,,
2015-11-05,7374.0,,,,,,,,,,
2015-11-06,7358.0,,,,,,,,,,
2015-11-09,7518.0,,,,,,,,,,
2015-11-10,7543.0,,,,,,,,,,
2015-11-11,7062.0,,,,,,,,,,
2015-11-12,6655.0,,,,,,,,,,
2015-11-13,6280.0,,,,,,,,,,
2015-11-16,6135.0,,,,,,,,,,
2015-11-17,5968.0,,,,,,,,,,
2015-11-18,5597.0,,,,,,,,,,
2015-11-19,5280.0,,,,,,,,,,
2015-11-20,5211.0,,,,,,,,,,
2015-11-23,5967.0,,,,,,,,,,
2015-11-24,6409.0,,,,,,,,,,
2015-11-25,7062.0,,,,,,,,,,
2015-11-26,7682.0,,,,,,,,,,
2015-11-27,8396.0,,,,,,,,,,
2015-11-30,8486.0,,,,,,,,,,
2015-12-01,8977.0,,,,,,,,,,
2015-12-02,8715.0,,,,,,,,,,
2015-12-03,8189.0,,,,,,,,,,
2015-12-04,7863.0,,,,,,,,,,
2015-12-07,7522.0,,,,,,,,,,
2015-12-08,7609.0,,,,,,,,,,
2015-12-09,7486.0,,,,,,,,,,
2015-12-10,7181.0,,,,,,,,,,
2015-12-11,6799.0,,,,,,,,,,
2015-12-14,6341.0,,,,,,,,,,
2015-12-15,5514.0,,,,,,,,,,
2015-12-16,5044.0,,,,,,,,,,
2015-12-17,5008.0,,,,,,,,,,
2015-12-18,5190.0,,,,,,,,,,
2015-12-21,5156.0,,,,,,,,,,
2015-12-22,4958.0,,,,,,,,,,
2015-12-23,4897.0,,,,,,,,,,
2015-12-24,4965.0,,,,,,,,,,
2016-01-04,4811.0,,,,,,,,,,
2016-01-05,4676.0,,,,,,,,,,
2016-01-06,4760.0,,,,,,,,,,
2016-01-07,4198.0,,,,,,,,,,
2016-01-08,3818.0,,,,,,,,,,
2016-01-11,3594.0,,,,,,,,,,
2016-01-12,3261.0,,,,,,,,,,
2016-01-13,3101.0,,,,,,,,,,
2016-01-14,2941.0,,,,,,,,,,
2016-01-15,2748.0,,,,,,,,,,
2016-01-18,2730.0,,,,,,,,,,
2016-01-19,2662.0,,,,,,,,,,
2016-01-20,2706.0,,,,,,,,,,
2016-01-21,2808.0,,,,,,,,,,
2016-01-22,2984.0,,,,,,,,,,
2016-01-25,3184.0,,,,,,,,,,
2016-01-26,3118.0,,,,,,,,,,
2016-01-27,3063.0,,,,,,,,,,
2016-01-28,2851.0,,,,,,,,,,
2016-01-29,2785.0,,,,,,,,,,
2016-02-01,2806.0,,,,,,,,,,
2016-02-02,2822.0,,,,,,,,,,
2016-02-03,2775.0,,,,,,,,,,
2016-02-04,2743.0,,,,,,,,,,
2016-02-05,2824.0,,,,,,,,,,
2016-02-08,2781.0,,,,,,,,,,
2016-02-09,2771.0,,,,,,,,,,
2016-02-10,2776.0,,,,,,,,,,
2016-02-11,2756.0,,,,,,,,,,
2016-02-12,2698.0,,,,,,,,,,
2016-02-15,2721.0,,,,,,,,,,
2016-02-16,2805.0,,,,,,,,,,
2016-02-17,2799.0,,,,,,,,,,
2016-02-18,2772.0,,,,,,,,,,
2016-02-19,2642.0,,,,,,,,,,
2016-02-22,2578.0,,,,,,,,,,
2016-02-23,2507.0,,,,,,,,,,
2016-02-24,2477.0,,,,,,,,,,
2016-02-25,2457.0,,,,,,,,,,
2016-02-26,2396.0,,,,,,,,,,
2016-02-29,2356.0,,,,,,,,,,
