Date,P5TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2019-01-11,10233.0,8670.0,16986.0,10362.0,4888.0,9950.0,10960.0,,
2019-01-14,10039.0,8435.0,16786.0,10108.0,4826.0,9719.0,10808.0,,
2019-01-15,9957.0,8290.0,16620.0,9983.0,4852.0,9533.0,10805.0,,
2019-01-16,9772.0,8040.0,16380.0,9731.0,4840.0,9200.0,10692.0,,
2019-01-17,9486.0,7555.0,16050.0,9455.0,4834.0,8828.0,10483.0,,
2019-01-18,9220.0,7270.0,15767.0,9105.0,4780.0,8389.0,10237.0,,
2019-01-21,8968.0,6935.0,15505.0,8786.0,4727.0,8144.0,10050.0,,
2019-01-22,8653.0,6470.0,15209.0,8340.0,4687.0,7722.0,9870.0,,
2019-01-23,8231.0,5935.0,14573.0,7843.0,4515.0,7139.0,9593.0,,
2019-01-24,7734.0,5255.0,13991.0,7303.0,4343.0,6550.0,9205.0,,
2019-01-25,7260.0,4780.0,13414.0,6810.0,3466.0,5894.0,8915.0,,
2019-01-28,6876.0,4310.0,12991.0,6400.0,2904.0,5428.0,8695.0,,
2019-01-29,6572.0,3975.0,12618.0,6119.0,2486.0,5122.0,8460.0,,
2019-01-30,6337.0,3698.0,12359.0,5858.0,2116.0,4875.0,8335.0,,
2019-01-31,6083.0,3483.0,11768.0,5644.0,1880.0,4625.0,8122.0,,
2019-02-01,5984.0,3413.0,11655.0,5542.0,1709.0,4561.0,8030.0,,
2019-02-04,5906.0,3363.0,11586.0,5467.0,1649.0,4350.0,7915.0,,
2019-02-05,5898.0,3343.0,11573.0,5509.0,1594.0,,7895.0,,
2019-02-06,5903.0,3308.0,11559.0,5586.0,1581.0,,7886.0,,
2019-02-07,6014.0,3368.0,11595.0,5838.0,1592.0,4403.0,7980.0,,
2019-02-08,6128.0,3423.0,11682.0,6117.0,1661.0,4431.0,8030.0,,
2019-02-11,6222.0,3483.0,11745.0,6317.0,1771.0,4560.0,8068.0,,
2019-02-12,6346.0,3568.0,11773.0,6596.0,1830.0,4933.0,8150.0,,
2019-02-13,6447.0,3588.0,11816.0,6878.0,1921.0,5456.0,8188.0,,
2019-02-14,6505.0,3573.0,11843.0,7083.0,1970.0,5711.0,8200.0,,
2019-02-15,6531.0,3593.0,11864.0,7163.0,1991.0,5856.0,8188.0,,
2019-02-18,6551.0,3573.0,11882.0,7238.0,2016.0,5939.0,8195.0,,
2019-02-19,6619.0,3573.0,11911.0,7425.0,2117.0,6072.0,8221.0,,
2019-02-20,6705.0,3623.0,11991.0,7574.0,2202.0,6233.0,8288.0,,
2019-02-21,6764.0,3683.0,12038.0,7674.0,2233.0,6372.0,8325.0,,
2019-02-22,6834.0,3813.0,12156.0,7721.0,2258.0,6389.0,8365.0,,
2019-02-25,6970.0,4018.0,12327.0,7845.0,2291.0,6472.0,8475.0,,
2019-02-26,7243.0,4288.0,12623.0,8123.0,2367.0,6711.0,8805.0,,
2019-02-27,7676.0,4673.0,13042.0,8678.0,2502.0,7106.0,9280.0,,
2019-02-28,8246.0,5355.0,13548.0,9413.0,2663.0,7517.0,9775.0,,
2019-03-01,8681.0,5925.0,13980.0,9963.0,2863.0,8056.0,10083.0,,
2019-03-04,8971.0,6435.0,14223.0,10219.0,3002.0,8500.0,10283.0,,
2019-03-05,9156.0,6685.0,14438.0,10381.0,3117.0,8772.0,10445.0,,
2019-03-06,9287.0,6870.0,14585.0,10409.0,3177.0,8872.0,10637.0,,
2019-03-07,9205.0,6695.0,14566.0,10191.0,3186.0,8661.0,10695.0,,
2019-03-08,8962.0,6320.0,14195.0,9864.0,3137.0,8328.0,10610.0,,
2019-03-11,8740.0,6000.0,13905.0,9560.0,3076.0,8031.0,10506.0,,
2019-03-12,8484.0,5650.0,13718.0,9192.0,3007.0,7769.0,10335.0,,
2019-03-13,8317.0,5515.0,13507.0,8979.0,2987.0,7633.0,10148.0,,
2019-03-14,8491.0,5660.0,13750.0,9088.0,3006.0,7739.0,10428.0,,
2019-03-15,8876.0,6200.0,14368.0,9346.0,3139.0,7872.0,10795.0,,
2019-03-18,9052.0,6455.0,14635.0,9447.0,3206.0,8050.0,10975.0,,
2019-03-19,9243.0,6650.0,14915.0,9498.0,3303.0,8200.0,11281.0,,
2019-03-20,9549.0,7205.0,15482.0,9543.0,3417.0,8697.0,11575.0,,
2019-03-21,9919.0,8140.0,15998.0,9550.0,3515.0,8893.0,11818.0,,
2019-03-22,10038.0,8490.0,16295.0,9475.0,3474.0,8872.0,11900.0,,
2019-03-25,10101.0,8760.0,16390.0,9356.0,3448.0,8783.0,11961.0,,
2019-03-26,10199.0,9105.0,16655.0,9221.0,3412.0,8567.0,12037.0,,
2019-03-27,10189.0,9230.0,16859.0,8960.0,3387.0,8233.0,12055.0,,
2019-03-28,10397.0,10175.0,17232.0,8721.0,3332.0,7939.0,12055.0,,
2019-03-29,10512.0,10570.0,17395.0,8619.0,3316.0,7756.0,12145.0,,
2019-04-01,10564.0,10750.0,17511.0,8564.0,3333.0,7706.0,12170.0,,
2019-04-02,10642.0,10895.0,17695.0,8630.0,3332.0,7844.0,12195.0,,
2019-04-03,10659.0,11015.0,17909.0,8559.0,3324.0,7839.0,12142.0,,
2019-04-04,10591.0,11035.0,17982.0,8395.0,3317.0,7606.0,12012.0,,
2019-04-05,10466.0,10935.0,17832.0,8265.0,3294.0,7463.0,11845.0,,
2019-04-08,10346.0,10810.0,17686.0,8146.0,3273.0,7333.0,11705.0,,
2019-04-09,10195.0,10580.0,17518.0,8044.0,3233.0,7225.0,11545.0,,
2019-04-10,10090.0,10455.0,17391.0,7964.0,3222.0,7188.0,11413.0,,
